player_id,full_name,sport
8473986,Alex Killorn,NHL
8474590,John Carlson,NHL
8475184,Chris Kreider,NHL
8475462,Radko Gudas,NHL
8475798,Mikael Granlund,NHL
8476885,Jacob Trouba,NHL
8477527,Ross Johnston,NHL
8478366,Frank Vatrano,NHL
8478424,Jansen Harkins,NHL
8478873,Troy Terry,NHL
8479705,Jeffrey Viel,NHL
8480068,Ryan Poehling,NHL
8481563,Drew Helleson,NHL
8481605,Jackson LaCombe,NHL
8481754,Nikita Nesterenko,NHL
8482118,Sam Colangelo,NHL
8482178,Ian Moore,NHL
8482745,Mason McTavish,NHL
8482803,Olen Zellweger,NHL
8483445,Cutter Gauthier,NHL
8483490,Pavel Mintyukov,NHL
8484153,Leo Carlsson,NHL
8484762,Beckett Sennecke,NHL
8485512,Tim Washe,NHL
8476374,Sean Kuraly,NHL
8476854,Hampus Lindholm,NHL
8477496,Elias Lindholm,NHL
8477507,Nikita Zadorov,NHL
8477956,David Pastrnak,NHL
8478042,Viktor Arvidsson,NHL
8478401,Pavel Zacha,NHL
8479325,Charlie McAvoy,NHL
8479362,Riley Tufte,NHL
8479369,Andrew Peeke,NHL
8479591,Michael Eyssimont,NHL
8479661,Tanner Jeannot,NHL
8479987,Morgan Geekie,NHL
8479999,Casey Mittelstadt,NHL
8480035,Henri Jokiharju,NHL
8480355,Mark Kastelic,NHL
8480828,Michael Callahan,NHL
8480887,Jordan Harris,NHL
8481219,Jonathan Aspirot,NHL
8481599,Victor Soderstrom,NHL
8481712,Matěj  Blümel,NHL
8482117,Lukas Reichel,NHL
8482177,Marat Khusnutdinov,NHL
8482511,Mason Lohrei,NHL
8482634,Alex Steeves,NHL
8483489,Fraser Minten,NHL
8483505,Matthew Poitras,NHL
8483567,Georgii Merkulov,NHL
8474568,Luke Schenn,NHL
8475722,Jason Zucker,NHL
8475842,Sam Carrick,NHL
8476871,Tanner Pearson,NHL
8477419,Mason Geertsen,NHL
8477949,Alex Tuch,NHL
8478413,Jordan Greenway,NHL
8479359,Beck Malenstyn,NHL
8479378,Logan Stanley,NHL
8479420,Tage Thompson,NHL
8479941,Justin Danforth,NHL
8479982,Conor Timmins,NHL
8480064,Josh Norris,NHL
8480802,Ryan McLeod,NHL
8480807,Mattias Samuelsson,NHL
8480839,Rasmus Dahlin,NHL
8480891,Michael Kesselring,NHL
8481522,Peyton Krebs,NHL
8481524,Bowen Byram,NHL
8481564,Ryan Johnson,NHL
