game_id,player_id,team_id,game_date,goals,assists,shots,penalty_minutes,plus_minus
NHL_2024_BOS,8476374,BOS,2026-02-21,4,12,77,41,1
NHL_2024_BOS,8476854,BOS,2026-02-21,4,15,70,44,-8
NHL_2024_BOS,8477496,BOS,2026-02-21,11,26,70,34,0
NHL_2024_BOS,8477507,BOS,2026-02-21,1,16,66,123,20
NHL_2024_BOS,8477956,BOS,2026-02-21,22,49,183,40,2
NHL_2024_BOS,8478042,BOS,2026-02-21,14,14,124,20,8
NHL_2024_BOS,8478401,BOS,2026-02-21,15,22,87,28,-5
NHL_2024_BOS,8479325,BOS,2026-02-21,4,35,66,44,5
NHL_2024_BOS,8479362,BOS,2026-02-21,1,0,4,0,-1
NHL_2024_BOS,8479369,BOS,2026-02-21,4,8,59,20,-7
NHL_2024_BOS,8479591,BOS,2026-02-21,8,9,86,27,-3
NHL_2024_BOS,8479661,BOS,2026-02-21,6,14,62,52,3
NHL_2024_BOS,8479987,BOS,2026-02-21,32,22,129,16,-1
NHL_2024_BOS,8479999,BOS,2026-02-21,12,16,55,4,1
NHL_2024_BOS,8480035,BOS,2026-02-21,0,9,30,12,3
NHL_2024_BOS,8480355,BOS,2026-02-21,9,8,73,108,6
NHL_2024_BOS,8480828,BOS,2026-02-21,0,0,3,0,-1
NHL_2024_BOS,8480887,BOS,2026-02-21,1,1,9,0,0
NHL_2024_BOS,8481219,BOS,2026-02-21,2,5,23,33,22
NHL_2024_BOS,8481599,BOS,2026-02-21,0,1,8,0,3
NHL_2024_BOS,8481712,BOS,2026-02-21,0,0,4,0,-3
NHL_2024_BOS,8482177,BOS,2026-02-21,12,14,57,12,9
NHL_2024_BOS,8482511,BOS,2026-02-21,6,17,52,12,8
NHL_2024_BOS,8482634,BOS,2026-02-21,9,7,49,32,6
NHL_2024_BOS,8483489,BOS,2026-02-21,14,15,77,14,18
NHL_2024_BOS,8483505,BOS,2026-02-21,1,0,8,4,1
NHL_2024_BOS,8483567,BOS,2026-02-21,0,0,0,0,-1
NHL_2024_TOR,8475166,TOR,2026-02-21,20,27,140,20,-16
NHL_2024_TOR,8475171,TOR,2026-02-21,8,26,81,36,-1
NHL_2024_TOR,8475690,TOR,2026-02-21,0,2,8,0,8
NHL_2024_TOR,8475714,TOR,2026-02-21,6,1,33,6,-8
NHL_2024_TOR,8476853,TOR,2026-02-21,7,24,106,12,-17
NHL_2024_TOR,8476872,TOR,2026-02-21,8,3,47,12,-1
NHL_2024_TOR,8476931,TOR,2026-02-21,3,15,50,31,17
NHL_2024_TOR,8476988,TOR,2026-02-21,0,0,0,0,0
NHL_2024_TOR,8477503,TOR,2026-02-21,9,22,87,32,-17
NHL_2024_TOR,8477541,TOR,2026-02-21,1,0,5,11,-3
NHL_2024_TOR,8477939,TOR,2026-02-21,18,34,86,14,2
NHL_2024_TOR,8478057,TOR,2026-02-21,6,4,32,25,-2
NHL_2024_TOR,8478443,TOR,2026-02-21,0,5,39,21,4
NHL_2024_TOR,8478462,TOR,2026-02-21,5,15,52,6,2
NHL_2024_TOR,8478904,TOR,2026-02-21,4,10,48,12,2
